"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"NPS Läti";"NPS Leedu";"NPS Soome";"NPS Eesti"
"1514757600";"01.01.2018 00:00";"25,65";"25,65";"25,65";"25,65"
"1514761200";"01.01.2018 01:00";"26,33";"26,33";"26,33";"26,33"
"1514764800";"01.01.2018 02:00";"26,43";"26,43";"26,43";"26,43"
"1514768400";"01.01.2018 03:00";"26,1";"26,1";"26,1";"26,1"
"1514772000";"01.01.2018 04:00";"24,7";"24,7";"24,7";"24,7"
"1514775600";"01.01.2018 05:00";"24,74";"24,74";"24,74";"24,74"
"1514779200";"01.01.2018 06:00";"18,01";"18,01";"18,01";"18,01"
"1514782800";"01.01.2018 07:00";"17,78";"17,78";"17,78";"17,78"
"1514786400";"01.01.2018 08:00";"17,8";"17,8";"17,8";"17,8"
"1514790000";"01.01.2018 09:00";"19,76";"19,76";"19,76";"19,76"
"1514793600";"01.01.2018 10:00";"20,73";"20,73";"20,73";"20,73"
"1514797200";"01.01.2018 11:00";"24,76";"24,76";"24,76";"24,76"
"1514800800";"01.01.2018 12:00";"25,68";"25,68";"25,68";"25,68"
"1514804400";"01.01.2018 13:00";"24,09";"24,09";"24,09";"24,09"
"1514808000";"01.01.2018 14:00";"25,01";"25,01";"25,01";"25,01"
"1514811600";"01.01.2018 15:00";"25,81";"25,81";"25,81";"25,81"
"1514815200";"01.01.2018 16:00";"26,46";"26,46";"26,46";"26,46"
"1514818800";"01.01.2018 17:00";"27,03";"27,03";"27,03";"27,03"
"1514822400";"01.01.2018 18:00";"27,43";"27,43";"27,43";"27,43"
"1514826000";"01.01.2018 19:00";"27,29";"27,29";"27,29";"27,29"
"1514829600";"01.01.2018 20:00";"26,96";"26,96";"26,96";"26,96"
"1514833200";"01.01.2018 21:00";"26,7";"26,7";"26,7";"26,7"
"1514836800";"01.01.2018 22:00";"26,47";"26,47";"26,47";"26,47"
"1514840400";"01.01.2018 23:00";"26,09";"26,09";"26,09";"26,09"
"1514844000";"02.01.2018 00:00";"24,88";"24,88";"24,88";"24,88"
"1514847600";"02.01.2018 01:00";"25,28";"25,28";"25,28";"25,28"
"1514851200";"02.01.2018 02:00";"23,16";"23,16";"23,16";"23,16"
"1514854800";"02.01.2018 03:00";"24,78";"24,78";"24,78";"24,78"
"1514858400";"02.01.2018 04:00";"25,03";"25,03";"25,03";"25,03"
"1514862000";"02.01.2018 05:00";"25,73";"25,73";"25,73";"25,73"
"1514865600";"02.01.2018 06:00";"26,84";"26,84";"26,84";"26,84"
"1514869200";"02.01.2018 07:00";"27,8";"27,8";"27,8";"27,8"
"1514872800";"02.01.2018 08:00";"30,5";"30,5";"30,5";"30,5"
"1514876400";"02.01.2018 09:00";"31,93";"31,93";"31,93";"31,93"
"1514880000";"02.01.2018 10:00";"33,53";"33,53";"33,53";"33,53"
"1514883600";"02.01.2018 11:00";"35,04";"35,04";"35,04";"35,04"
"1514887200";"02.01.2018 12:00";"35,22";"35,22";"35,22";"35,22"
"1514890800";"02.01.2018 13:00";"34,56";"34,56";"34,56";"34,56"
"1514894400";"02.01.2018 14:00";"34,1";"34,1";"34,1";"34,1"
"1514898000";"02.01.2018 15:00";"35,98";"35,98";"35,98";"35,98"
"1514901600";"02.01.2018 16:00";"38,05";"38,05";"38,05";"38,05"
"1514905200";"02.01.2018 17:00";"41,67";"41,67";"41,67";"41,67"
"1514908800";"02.01.2018 18:00";"42,39";"42,39";"42,39";"42,39"
"1514912400";"02.01.2018 19:00";"37,79";"37,79";"37,79";"37,79"
"1514916000";"02.01.2018 20:00";"34,08";"34,08";"33,7";"33,7"
"1514919600";"02.01.2018 21:00";"30,88";"30,88";"30,88";"30,88"
"1514923200";"02.01.2018 22:00";"28,85";"28,85";"28,85";"28,85"
"1514926800";"02.01.2018 23:00";"27,99";"27,99";"27,99";"27,99"
"1514930400";"03.01.2018 00:00";"27,6";"27,6";"27,6";"27,6"
"1514934000";"03.01.2018 01:00";"27,12";"27,12";"27,12";"27,12"
"1514937600";"03.01.2018 02:00";"26,61";"26,61";"26,61";"26,61"
"1514941200";"03.01.2018 03:00";"26,26";"26,26";"26,26";"26,26"
"1514944800";"03.01.2018 04:00";"26,23";"26,23";"26,23";"26,23"
"1514948400";"03.01.2018 05:00";"26,42";"26,42";"26,42";"26,42"
"1514952000";"03.01.2018 06:00";"27,47";"27,47";"27,47";"27,47"
"1514955600";"03.01.2018 07:00";"28,31";"28,31";"28,31";"28,31"
"1514959200";"03.01.2018 08:00";"28,95";"28,95";"28,95";"28,95"
"1514962800";"03.01.2018 09:00";"29,2";"29,2";"29,2";"29,2"
"1514966400";"03.01.2018 10:00";"29,28";"29,28";"29,28";"29,28"
"1514970000";"03.01.2018 11:00";"29,42";"29,42";"29,42";"29,42"
"1514973600";"03.01.2018 12:00";"29,25";"29,25";"29,25";"29,25"
"1514977200";"03.01.2018 13:00";"29,23";"29,23";"29,23";"29,23"
"1514980800";"03.01.2018 14:00";"29,49";"29,49";"29,49";"29,49"
"1514984400";"03.01.2018 15:00";"29,86";"29,86";"29,86";"29,86"
"1514988000";"03.01.2018 16:00";"30,51";"30,51";"30,51";"30,51"
"1514991600";"03.01.2018 17:00";"31,33";"31,33";"31,33";"31,33"
"1514995200";"03.01.2018 18:00";"31,59";"31,59";"31,59";"31,59"
"1514998800";"03.01.2018 19:00";"30,78";"30,78";"30,78";"30,78"
"1515002400";"03.01.2018 20:00";"30,15";"30,15";"30,15";"30,15"
"1515006000";"03.01.2018 21:00";"29,37";"29,37";"29,37";"29,37"
"1515009600";"03.01.2018 22:00";"28,93";"28,93";"28,93";"28,93"
"1515013200";"03.01.2018 23:00";"28,13";"28,13";"28,13";"28,13"
"1515016800";"04.01.2018 00:00";"27,31";"27,31";"27,31";"27,31"
"1515020400";"04.01.2018 01:00";"27,05";"27,05";"27,05";"27,05"
