"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"NPS Läti";"NPS Leedu";"NPS Soome";"NPS Eesti"
"1693515600";"01.09.2023 00:00";"94,06";"94,06";"94,06";"94,06"
"1693519200";"01.09.2023 01:00";"98,9";"98,9";"20,19";"98,9"
"1693522800";"01.09.2023 02:00";"95,97";"95,97";"19,78";"95,97"
"1693526400";"01.09.2023 03:00";"93,29";"93,29";"18,97";"93,29"
"1693530000";"01.09.2023 04:00";"92,64";"92,64";"18,88";"92,64"
"1693533600";"01.09.2023 05:00";"93,23";"93,23";"27,47";"93,23"
"1693537200";"01.09.2023 06:00";"96,67";"96,67";"75,06";"96,67"
"1693540800";"01.09.2023 07:00";"112,09";"112,09";"112,09";"112,09"
"1693544400";"01.09.2023 08:00";"152,86";"152,86";"152,86";"152,86"
"1693548000";"01.09.2023 09:00";"199,95";"199,95";"199,95";"199,95"
"1693551600";"01.09.2023 10:00";"160,82";"160,82";"160,82";"160,82"
"1693555200";"01.09.2023 11:00";"170,85";"170,85";"170,85";"170,85"
"1693558800";"01.09.2023 12:00";"120";"120";"120";"120"
"1693562400";"01.09.2023 13:00";"92,02";"92,02";"92,02";"92,02"
"1693566000";"01.09.2023 14:00";"88,9";"88,9";"88,9";"88,9"
"1693569600";"01.09.2023 15:00";"88,82";"88,82";"88,82";"88,82"
"1693573200";"01.09.2023 16:00";"91,59";"91,59";"91,59";"91,59"
"1693576800";"01.09.2023 17:00";"94,33";"94,33";"94,33";"94,33"
"1693580400";"01.09.2023 18:00";"145,2";"145,2";"145,2";"145,2"
"1693584000";"01.09.2023 19:00";"148,76";"148,76";"148,76";"148,76"
"1693587600";"01.09.2023 20:00";"199,14";"199,14";"199,14";"199,14"
"1693591200";"01.09.2023 21:00";"180,43";"180,43";"180,43";"180,43"
"1693594800";"01.09.2023 22:00";"131,96";"131,96";"131,96";"131,96"
"1693598400";"01.09.2023 23:00";"118,56";"118,56";"118,56";"118,56"
"1693602000";"02.09.2023 00:00";"89,22";"89,22";"89,22";"89,22"
"1693605600";"02.09.2023 01:00";"40";"40";"39,54";"40"
"1693609200";"02.09.2023 02:00";"38,6";"38,6";"38,6";"38,6"
"1693612800";"02.09.2023 03:00";"34,96";"34,96";"34,96";"34,96"
"1693616400";"02.09.2023 04:00";"32,33";"32,33";"32,33";"32,33"
"1693620000";"02.09.2023 05:00";"35,23";"35,23";"35,23";"35,23"
"1693623600";"02.09.2023 06:00";"46,36";"46,36";"46,36";"46,36"
"1693627200";"02.09.2023 07:00";"72,56";"72,56";"72,56";"72,56"
"1693630800";"02.09.2023 08:00";"101,09";"101,09";"101,09";"101,09"
"1693634400";"02.09.2023 09:00";"104,1";"104,1";"104,1";"104,1"
"1693638000";"02.09.2023 10:00";"113,09";"113,09";"113,09";"113,09"
"1693641600";"02.09.2023 11:00";"89,77";"89,77";"89,77";"89,77"
"1693645200";"02.09.2023 12:00";"80";"80";"80";"80"
"1693648800";"02.09.2023 13:00";"118,63";"118,63";"118,63";"118,63"
"1693652400";"02.09.2023 14:00";"94,62";"94,62";"94,62";"94,62"
"1693656000";"02.09.2023 15:00";"131,62";"131,62";"131,62";"131,62"
"1693659600";"02.09.2023 16:00";"69,4";"69,4";"69,4";"69,4"
"1693663200";"02.09.2023 17:00";"80,01";"80,01";"80,01";"80,01"
"1693666800";"02.09.2023 18:00";"115";"115";"115";"115"
"1693670400";"02.09.2023 19:00";"110";"110";"110";"110"
"1693674000";"02.09.2023 20:00";"127,51";"127,51";"127,51";"127,51"
"1693677600";"02.09.2023 21:00";"133,06";"133,06";"133,06";"133,06"
"1693681200";"02.09.2023 22:00";"115,34";"115,34";"115,34";"115,34"
"1693684800";"02.09.2023 23:00";"105,64";"105,64";"105,64";"105,64"
"1693688400";"03.09.2023 00:00";"97,34";"97,34";"51,67";"97,34"
"1693692000";"03.09.2023 01:00";"22,82";"22,82";"22,82";"22,82"
"1693695600";"03.09.2023 02:00";"19,38";"19,38";"19,38";"19,38"
"1693699200";"03.09.2023 03:00";"19,2";"19,2";"19,2";"19,2"
"1693702800";"03.09.2023 04:00";"19,25";"19,25";"19,25";"19,25"
"1693706400";"03.09.2023 05:00";"19,58";"19,58";"19,58";"19,58"
"1693710000";"03.09.2023 06:00";"21,37";"21,37";"21,37";"21,37"
"1693713600";"03.09.2023 07:00";"97,37";"97,37";"29,03";"97,37"
"1693717200";"03.09.2023 08:00";"93,74";"93,74";"27,57";"93,74"
"1693720800";"03.09.2023 09:00";"89,27";"89,27";"44,56";"89,27"
"1693724400";"03.09.2023 10:00";"82,6";"82,6";"43,49";"82,6"
"1693728000";"03.09.2023 11:00";"60,3";"60,3";"47,35";"60,3"
"1693731600";"03.09.2023 12:00";"43,43";"43,43";"43,43";"43,43"
"1693735200";"03.09.2023 13:00";"21,37";"21,37";"21,37";"21,37"
"1693738800";"03.09.2023 14:00";"23,82";"23,82";"23,82";"23,82"
"1693742400";"03.09.2023 15:00";"30,82";"30,82";"30,82";"30,82"
"1693746000";"03.09.2023 16:00";"40,48";"40,48";"40,48";"40,48"
"1693749600";"03.09.2023 17:00";"53,66";"53,66";"53,66";"53,66"
"1693753200";"03.09.2023 18:00";"93,82";"93,82";"93,82";"93,82"
"1693756800";"03.09.2023 19:00";"109,24";"109,24";"109,24";"109,24"
"1693760400";"03.09.2023 20:00";"124,3";"124,3";"43";"124,3"
"1693764000";"03.09.2023 21:00";"137,4";"137,4";"19,62";"137,4"
"1693767600";"03.09.2023 22:00";"118,94";"118,94";"15,96";"118,94"
"1693771200";"03.09.2023 23:00";"109,59";"109,59";"9,68";"109,59"
"1693774800";"04.09.2023 00:00";"100,98";"100,98";"1,39";"100,98"
"1693778400";"04.09.2023 01:00";"102,89";"102,89";"-0,19";"102,89"
"1693782000";"04.09.2023 02:00";"102,9";"102,9";"-1,21";"102,9"
"1693785600";"04.09.2023 03:00";"102,9";"102,9";"-1,66";"102,9"
"1693789200";"04.09.2023 04:00";"90,92";"90,92";"-1,8";"90,92"
"1693792800";"04.09.2023 05:00";"102,9";"102,9";"-1,61";"102,9"
"1693796400";"04.09.2023 06:00";"160,02";"160,02";"-0,14";"160,02"
"1693800000";"04.09.2023 07:00";"160,07";"160,07";"2,61";"160,07"
"1693803600";"04.09.2023 08:00";"250,05";"250,05";"12,77";"250,05"
"1693807200";"04.09.2023 09:00";"250,09";"250,09";"20,67";"250,09"
"1693810800";"04.09.2023 10:00";"150,09";"150,09";"26,71";"150,09"
"1693814400";"04.09.2023 11:00";"160";"160";"90,65";"160"
"1693818000";"04.09.2023 12:00";"82,07";"82,07";"47,75";"82,07"
"1693821600";"04.09.2023 13:00";"137,71";"137,71";"25,84";"137,71"
"1693825200";"04.09.2023 14:00";"102,9";"102,9";"26,81";"102,9"
"1693828800";"04.09.2023 15:00";"102,9";"102,9";"23,87";"102,9"
"1693832400";"04.09.2023 16:00";"120,99";"120,99";"27,44";"120,99"
"1693836000";"04.09.2023 17:00";"180,05";"180,05";"12,34";"180,05"
"1693839600";"04.09.2023 18:00";"180,05";"180,05";"4,95";"180,05"
